date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:56	84/84	---MCZ	200	added ('OK')	text/plain	etag:W/%225c9bcf68-49%22	https://www.photoaccess.org.au/robots.txt		(from )
20:22:56	22079/22079	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202019%2018:22:55%20GMT	https://www.photoaccess.org.au/	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/index.html	(from )
20:22:57	44/44	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2020%20Apr%202019%2018:22:57%20GMT	https://www.photoaccess.org.au/xmlrpc.php	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/xmlrpc.php	(from https://www.photoaccess.org.au/)
20:23:00	19112/19112	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Apr%202019%2018:22:58%20GMT	https://www.photoaccess.org.au/wp-content/themes/photoaccess/favicon.png	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/favicon.png	(from https://www.photoaccess.org.au/)
20:23:00	153909/153909	---MCZ	200	added ('OK')	text/css	etag:W/%225c5a16be-25981%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/css/screen.css?ver=1549407934	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/css/screen5fcf.css	(from https://www.photoaccess.org.au/)
20:23:01	25242/25242	---M-Z	200	added ('OK')	text/css	etag:W/%225cb0ddce-629a%22	https://www.photoaccess.org.au/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-includes/css/dist/block-library/style.min3c21.css	(from https://www.photoaccess.org.au/)
20:23:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Apr%202019%2018:23:02%20GMT	http://s.w.org/	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/s.w.org/index.html	(from https://www.photoaccess.org.au/)
20:23:03	16542/16542	---MCZ	200	added ('OK')	text/css	etag:W/%225c511e08-409e%22	https://www.photoaccess.org.au/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.5.4	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/plugins/woocommerce/assets/css/woocommerce-layoute248.css	(from https://www.photoaccess.org.au/)
20:23:04	6758/6758	---MCZ	200	added ('OK')	text/css	etag:W/%225c511e08-1a66%22	https://www.photoaccess.org.au/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.5.4	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreene248.css	(from https://www.photoaccess.org.au/)
20:23:05	62384/62384	---MCZ	200	added ('OK')	text/css	etag:W/%225c511e08-f3b8%22	https://www.photoaccess.org.au/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.5.4	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/plugins/woocommerce/assets/css/woocommercee248.css	(from https://www.photoaccess.org.au/)
